North,South,West,East
92,116,79,130
93,116,80,129
94,117,83,136
95,118,87,136
93,116,85,135
93,117,86,140
95,120,92,136
92,118,88,136
92,118,89,138
94,118,89,141
95,118,89,135
93,118,91,146
95,117,90,147
94,117,94,151
93,116,96,149
93,117,94,147
86,116,94,151
91,117,95,161
93,118,109,168
92,117,108,165
93,118,113,159
92,118,111,164
93,118,112,163
91,117,112,166
93,118,111,164
92,117,113,166
91,116,116,165
92,118,119,165
91,117,113,169
92,117,112,169
93,117,113,170
92,116,115,169
93,116,113,165
93,119,116,164
92,118,116,164
92,118,120,165
92,116,117,164
92,117,113,165
93,117,112,169
92,117,118,169
92,117,115,170
91,118,119,167
92,119,120,172
92,119,118,169
90,118,123,172
90,118,122,176
92,118,121,174
91,117,121,171
91,118,124,173
91,118,122,173
92,118,125,174
93,118,124,175
91,117,124,175
92,119,122,173
92,119,124,177
91,119,126,173
91,118,126,172
92,119,127,176
92,118,127,177
91,117,126,180
90,120,126,183
90,120,125,182
80,118,123,183
90,118,122,186
90,118,120,189
89,118,120,191
89,119,120,194
88,118,113,195
88,119,112,190
86,120,113,190
86,119,113,185
88,119,118,191
90,119,118,189
85,118,117,195
89,118,119,187
90,119,120,189
91,118,117,180
92,119,115,191
91,119,122,192
91,118,126,190
91,118,128,196
90,121,126,193
90,120,128,196
90,119,128,199
89,119,124,204
89,120,121,198
88,118,128,200
89,120,127,199
88,118,125,201
87,119,127,206
88,119,127,197
86,117,137,207
87,118,141,213
87,118,148,213
87,118,154,214
91,118,154,206
91,121,149,211
90,119,144,217
90,118,144,211
91,119,135,213
91,118,154,218
91,118,156,213
90,118,149,217
90,117,151,217
90,118,152,219
89,119,151,222
90,117,148,224
91,120,148,224
92,118,158,219
92,119,163,216
91,118,160,220
91,119,165,211
92,116,166,213
92,117,162,213
91,116,160,213
92,116,159,209
92,118,161,206
91,118,164,210
92,118,167,213
91,117,164,215
91,117,163,217
